"severity","type","message","component","line"
"BLOCKER","CODE_SMELL","Add at least one assertion to this test case.","com.projet:adhesion-app:src/test/java/com/projet/adhesionapp/selenium/DashboardE2ETest.java","249"
"BLOCKER","CODE_SMELL","Add at least one assertion to this test case.","com.projet:adhesion-app:src/test/java/com/projet/adhesionapp/selenium/DashboardE2ETest.java","288"
"BLOCKER","CODE_SMELL","Add at least one assertion to this test case.","com.projet:adhesion-app:src/test/java/com/projet/adhesionapp/selenium/DashboardE2ETest.java","327"
"BLOCKER","CODE_SMELL","Add at least one assertion to this test case.","com.projet:adhesion-app:src/test/java/com/projet/adhesionapp/selenium/DashboardE2ETest.java","390"
"BLOCKER","VULNERABILITY","Revoke and change this password, as it is compromised.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/config/AdminInitializer.java","31"
"BLOCKER","VULNERABILITY","Revoke and change this password, as it is compromised.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/config/AdminInitializer.java","47"
"CRITICAL","CODE_SMELL","Call transactional methods via an injected dependency instead of directly via 'this'.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/identity/service/UserService.java","99"
"CRITICAL","CODE_SMELL","Call transactional methods via an injected dependency instead of directly via 'this'.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/identity/service/UserService.java","128"
"MAJOR","CODE_SMELL","Replace this usage of 'Stream.collect(Collectors.toList())' with 'Stream.toList()' and ensure that the list is unmodified.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/identity/web/AdminController.java","77"
"MINOR","CODE_SMELL","Remove the unnecessary boolean literal.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/identity/web/AuthController.java","36"
"MINOR","CODE_SMELL","Remove this unused import 'java.util.Map'.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/ai/model/EmotionDetectionResponse.java","4"
"MAJOR","BUG","Override equals, hashCode and toString to consider array's content in the method","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/ai/model/FacialEmotionDetectionRequest.java","5"
"MAJOR","CODE_SMELL","Replace this use of System.out by a logger.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/ai/service/EmotionDetectionService.java","34"
"MAJOR","CODE_SMELL","Replace this use of System.out by a logger.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/ai/service/EmotionDetectionService.java","35"
"MAJOR","CODE_SMELL","Replace this use of System.out by a logger.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/ai/service/EmotionDetectionService.java","36"
"CRITICAL","CODE_SMELL","Define a constant instead of duplicating this literal ""content"" 3 times.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/ai/service/OpenAIService.java","49"
"MAJOR","CODE_SMELL","Replace generic exceptions with specific library exceptions or a custom exception.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/ai/service/OpenAIService.java","87"
"MAJOR","CODE_SMELL","%n should be used in place of \n to produce the platform-specific line separator.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/ai/service/OpenAIService.java","179"
